"raceId","mean_lap_time","median_lap_time","mean_race_time","median_race_time","circuitId","year","round","circuit_name","circuit_length","mean_speed"
146,96.9080421788441,76.8712173913043,3766.16823809524,5265.927,70,2001,6,"Red Bull Ring",4318,160.407739651906
147,87.7695128244401,84.3762467532467,4585.50680952381,4936.011,6,2001,7,"Circuit de Monaco",3337,136.872128070589
148,85.2107174759739,83.7762058823529,3833.76628571429,5272.703,7,2001,8,"Circuit Gilles Villeneuve",4361,184.244429163816
149,82.2307666820423,82.1082611268939,4676.12409090909,5392.3135,20,2001,9,"Nürburgring",5148,225.37549809866
150,79.6326630110614,79.5387323943662,5028.93176190476,5632.742,8,2001,10,"Circuit de Nevers Magny-Cours",4411,199.410636283685
151,88.5877258682031,87.9044915254237,4557.48073684211,5167.416,9,2001,11,"Silverstone Circuit",5891,239.39659577165
152,106.798874651989,105.991366666667,3488.929,4168.2185,10,2001,12,"Hockenheimring",4574,154.181399885128
153,82.8615029807978,81.6604,5121.1049047619,6113.038,11,2001,13,"Hungaroring",4381,190.336880609743
154,123.608365544746,115.277,3497.12594117647,4105.741,13,2001,14,"Circuit de Spa-Francorchamps",7004,203.986193724667
155,89.9871794065745,89.334,3690.00952380952,4632.687,14,2001,15,"Autodromo Nazionale di Monza",5793,231.753013457341
157,102.015461377319,101.734585106383,4641.12286363636,5266.1555,22,2001,17,"Suzuka Circuit",5807,204.921878681497
158,102.540421579067,99.0940742236025,3912.98736363636,4382.893,1,2000,1,"Albert Park Grand Prix Circuit",5278,185.300583978474
159,79.730965239835,79.1997178571429,3839.8567,5495.3765,18,2000,2,"Autódromo José Carlos Pace",4309,194.559290149541
160,91.5275271707968,91.0681229508197,4413.65063636364,5511.9535,21,2000,3,"Autodromo Enzo e Dino Ferrari",4909,193.082895892315
161,90.6310529174064,90.7748728813559,4806.127,5352.5465,9,2000,4,"Silverstone Circuit",5891,233.999267550459
162,89.2804771193806,88.1172,4772.80180952381,5651.456,4,2000,5,"Circuit de Barcelona-Catalunya",4657,187.781254546641
163,93.409452882903,93.2144739057239,4854.1842,5804.0515,20,2000,6,"Nürburgring",5148,198.403902688869
164,85.821601715628,85.3612857142857,4637.95671428571,5198.08,6,2000,7,"Circuit de Monaco",3337,139.978743810982
165,87.6165541933904,88.2503768115942,5181.05786363636,6073.015,7,2000,8,"Circuit Gilles Villeneuve",4361,179.185316570968
166,83.5764527627763,83.6519375,4915.33745454545,5902.501,8,2000,9,"Circuit de Nevers Magny-Cours",4411,190.000885118596
167,78.0160981804837,76.1937571428571,4379.65010526316,5308.353,70,2000,10,"Red Bull Ring",4318,199.251184852111
168,113.894725911949,114.416177777778,4478.02995,5138.144,10,2000,11,"Hockenheimring",4574,144.575614613886
169,85.9974336203799,84.2540328947368,5671.556,6351.301,11,2000,12,"Hungaroring",4381,183.396170513888
170,125.65282871346,122.773659090909,4645.26009090909,5335.1825,13,2000,13,"Circuit de Spa-Francorchamps",7004,200.667189574373
171,117.22379584647,101.261105769231,4308.4513125,5265.5775,14,2000,14,"Autodromo Nazionale di Monza",5793,177.905858186967
173,104.640342397346,104.330086538462,4779.422,5403.346,22,2000,16,"Suzuka Circuit",5807,199.781456377671
174,105.953638335767,104.934290909091,5052.59605263158,5760.705,2,2000,17,"Sepang International Circuit",5543,188.335203145768
175,102.373000860681,102.080446428571,3977.01942105263,4372.948,1,1999,1,"Albert Park Grand Prix Circuit",5278,185.603624395636
176,83.7200025104951,82.7789259259259,4050.27671428571,4089.488,18,1999,2,"Autódromo José Carlos Pace",4309,185.289053211093
177,93.4110228515931,92.8736205483324,4351.93835,5381.331,21,1999,3,"Autodromo Enzo e Dino Ferrari",4909,189.189663708929
178,86.9714527920502,86.3916984425349,4389.10490909091,4288.9095,6,1999,4,"Circuit de Monaco",3337,138.128082426353
179,89.0204182065408,88.5163125,4714.65980952381,5664.028,4,1999,5,"Circuit de Barcelona-Catalunya",4657,188.329827445904
180,91.9010073875187,89.4730294117647,4508.78,6095.728,7,1999,6,"Circuit Gilles Villeneuve",4361,170.831642071121
181,95.7389928363603,99.2888402777778,4826.30754545455,7109.889,8,1999,7,"Circuit de Nevers Magny-Cours",4411,165.863453641526
182,94.6379358954578,93.746125,5011.83485,5590.772,9,1999,8,"Silverstone Circuit",5891,224.09195423944
183,76.27397987775,75.8959785714286,4448.31022727273,5300.646,70,1999,9,"Red Bull Ring",4318,203.802135733769
184,111.285746871637,111.003966666667,3556.61755,4661.337,10,1999,10,"Hockenheimring",4574,147.965040114195
185,84.6818197851506,84.3256907894737,5594.41709090909,6407.148,11,1999,11,"Hungaroring",4381,186.245407101722
186,119.384706144144,118.983,4818.29452380952,5188.005,13,1999,12,"Circuit de Spa-Francorchamps",7004,211.20293222112
187,90.1145713441212,88.2803461538462,3424.77271428571,4590.578,14,1999,13,"Autodromo Nazionale di Monza",5793,231.425392019695
188,95.4142973476438,94.2724857142857,5007.63763157895,5755.3,20,1999,14,"Nürburgring",5148,194.235041447461
189,107.834728106685,105.184862689394,4158.21065,5799.014,2,1999,15,"Sepang International Circuit",5543,185.049847580252
190,106.430881569783,106.466557692308,4682.56066666667,5491.101,22,1999,16,"Suzuka Circuit",5807,196.420434479754
191,101.520635680821,97.7622105263158,3324.04233333333,4021.687,1,1998,1,"Albert Park Grand Prix Circuit",5278,187.161948628239
192,83.5926657616538,83.4598571428571,4533.67438095238,5831.747,18,1998,2,"Autódromo José Carlos Pace",4309,185.571304116921
194,94.6771300369327,94.5798333333333,4036.64619047619,5223.371,21,1998,4,"Autodromo Enzo e Dino Ferrari",4909,186.659650467923
195,88.7329589188862,88.7437608695652,4890.85719047619,5627.986,4,1998,5,"Circuit de Barcelona-Catalunya",4657,188.939940742037
196,87.5781381180491,87.8970043290043,5148.1388,6689.3325,6,1998,6,"Circuit de Monaco",3337,137.171219417876
197,92.8361325523018,90.2847352941177,4766.10088235294,6074.018,7,1998,7,"Circuit Gilles Villeneuve",4361,169.110879227495
198,82.4413801138392,82.5347753623188,5126.54572727273,5693.374,8,1998,8,"Circuit de Nevers Magny-Cours",4411,192.616862770524
199,107.20212491591,107.866439189189,4718.06372727273,4686.0735,9,1998,9,"Silverstone Circuit",5891,197.828168206884
200,82.9858900612477,78.5560714285714,3914.2732,5453.132,70,1998,10,"Red Bull Ring",4318,187.318591010197
201,109.882865130453,109.021755555556,4378.41728571429,4860.598,10,1998,11,"Hockenheimring",4574,149.854119479421
202,84.4088499633907,83.8856842105263,5332.62123809524,6334.984,11,1998,12,"Hungaroring",4381,186.847706216118
203,144.091880357776,141.696545454545,4516.71946666667,6227.408,13,1998,13,"Circuit de Spa-Francorchamps",7004,174.988347278093
204,91.08900265055,89.59959375,3588.40427272727,4631.458,14,1998,14,"Autodromo Nazionale di Monza",5793,228.949701864741
205,85.462968060394,84.8749802494802,4840.39322727273,5549.6485,20,1998,15,"Nürburgring",5148,216.851818051808
206,105.746123792488,105.15346,4045.31733333333,5242.536,22,1998,16,"Suzuka Circuit",5807,197.69235268636
207,97.5812097557752,96.1921734693878,4163.4635,5288.5985,1,1997,1,"Albert Park Grand Prix Circuit",5278,194.717815525703
208,81.603128673839,81.3752394366197,5283.21071428571,5780.559,18,1997,2,"Autódromo José Carlos Pace",4309,190.095652606676
210,91.6538030453601,90.1540327868853,3856.597,5460.673,21,1997,4,"Autodromo Enzo e Dino Ferrari",4909,192.816876253938
211,122.51646747604,120.139923076923,4391.08242857143,4685.457,6,1997,5,"Circuit de Monaco",3337,98.0537575681353
212,86.5223659478648,86.3594308426073,4669.73540909091,5451.981,4,1997,6,"Circuit de Barcelona-Catalunya",4657,193.767239445372
213,87.6046412464016,87.0637391304348,3652.88273684211,4660.646,7,1997,7,"Circuit Gilles Villeneuve",4361,179.209683147294
214,83.7712887872079,83.496924863388,4523.47395454545,5925.5275,8,1997,8,"Circuit de Nevers Magny-Cours",4411,189.558979334037
215,91.3327635675489,91.2115,4668.34775,5227.442,9,1997,9,"Silverstone Circuit",5891,232.201448544969
216,119.546129754585,110.665295454545,3430.48328571429,4371.576,10,1997,10,"Hockenheimring",4574,137.740971069525
217,84.0367122059,83.1906623376623,4915.247,6347.948,11,1997,11,"Hungaroring",4381,187.675119433013
218,136.592449016511,130.542182082452,4753.89713636364,5633.15,13,1997,12,"Circuit de Spa-Francorchamps",7004,184.595855638786
219,89.1073570322002,88.4457641509434,3817.54272727273,4629.716,14,1997,13,"Autodromo Nazionale di Monza",5793,234.041281153293
220,75.8211584073248,74.8292931034483,4552.73680952381,5258.908,70,1997,14,"Red Bull Ring",4318,205.019289160561
221,88.7609674699361,82.5732611940298,3840.8776,4854.206,20,1997,15,"Nürburgring",5148,208.794479468435
